"pagedocument_Category";"Category: %s"
"pagedocument_Uncategorized";"Uncategorized"
"pagedocument_All categories";"All categories"

"pagedocument_...";"..."
"pagedocument_edit";"edit"
"pagedocument_delete";"delete"
"Documents";"Documents"
"pagedocument_Upload";"Upload Document"
"pagedocument_Admin title";""
"Global";"Global"
"Displays the page's documents.";"Displays the page's documents."
"Document Settings";""
"pagedocument_Admin_categories";"Document Categories"

"PAGEDOCUMENT_ACTION_NEW";"{actors:$subject:$object} posted new document entry {var:$link}: {body:$body}"

"_ACTIVITY_ACTIONTYPE_COMMENT_PAGEDOCUMENT";"When Someone Comments Pagedocument"
"_ACTIVITY_ACTIONTYPE_PAGEDOCUMENT_NEW";"When Someone Creates Pagedocument"
"pagedocument_Download";"Download"
